Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
117_Ryan_Gosling_00,final_v1_usm_0.7_enhance_False,0.890993,3.4384981999999997,0.606445,0.605
119_Neil_Patrick_Harris_00,final_v1_no_usm_enhance_False,0.804184,3.3317856399999997,0.712714,0.605
127_Gal_Gadot_00,final_v1_no_usm_enhance_False,0.882228,3.40184567,0.60786,0.605
134_Jared_Leto_00,final_v1_usm_0.3_enhance_False,0.918763,3.41189886,0.814737,0.605
139_Kumail_Nanjiani_00,final_v1_usm_1.0_enhance_False,0.867809,3.3032011900000002,0.627901,0.605
142_Chrissy_Teigen_00,final_v1_no_usm_enhance_False,0.881924,3.31394621,0.624392,0.605
144_Lea_Michele_00,final_v1_usm_1.0_enhance_False,0.912403,3.3904291300000002,0.637764,0.605
146_Sophie_Turner_00,final_v1_usm_0.1_enhance_False,0.857178,3.38101654,0.605349,0.605
152_Aziz_Ansari_00,final_v1_usm_0.3_enhance_False,0.911719,3.4248733299999996,0.718489,0.605
153_Michael_Jordan_00,final_v1_usm_0.1_enhance_False,0.812971,3.36152557,0.644861,0.605
162925,final_v1_usm_1.2_enhance_False,0.876326,3.44135818,0.626553,0.505
163110,final_v1_usm_1.0_enhance_False,0.910667,3.46596833,0.668119,0.505
163602,final_v1_usm_1.0_enhance_False,0.798948,3.0094575600000004,0.654495,0.505
164001,final_v1_usm_1.0_enhance_False,0.879418,3.42798119,0.535241,0.505
164010,final_v1_no_usm_enhance_False,0.794442,3.34772223,0.944416,0.505
164034,final_v1_usm_1.0_enhance_False,0.878607,3.4476188,0.516455,0.505
164236,final_v1_usm_0.1_enhance_False,0.84119,3.37379449,0.840148,0.505
164244,final_v1_usm_1.0_enhance_False,0.907712,3.4562839799999994,0.905913,0.505
164470,final_v1_usm_1.0_enhance_False,0.931036,3.51052861,0.939275,0.505
164558,final_v1_usm_1.0_enhance_False,0.888864,3.4347869500000003,0.74428,0.505
