Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
00028_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.872274,3.2955361100000005,0.319521,0.3
00028_02,WebPhoto_v2_prompt_version_3_cfg_scale_5_strength_0.7_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.913175,3.4052462099999996,0.460164,0.3
00028_03,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.903169,3.25509173,0.348822,0.3
00033_02,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.8_steps_50_captioner_none_swindegrad_v0,0.897503,3.41242664,0.407004,0.3
00034_00,WebPhoto_v2_prompt_version_3_cfg_scale_5_strength_0.6_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.862348,3.33535146,0.311782,0.3
00041_00,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_75_captioner_none_swindegrad_v0,0.896252,3.29803134,0.550534,0.3
00043_00,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.9_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.921873,3.31976003,0.347606,0.3
00044_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.8_steps_30_captioner_none_swindegrad_v0,0.89108,3.31084376,0.540717,0.3
00048_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.9_steps_100_captioner_none_swindegrad_v0,0.871583,3.26301551,0.387969,0.3
00049_01,WebPhoto_v2_prompt_version_3_cfg_scale_6_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.874203,3.2374459,0.305107,0.3
00049_02,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.852735,3.3348488599999997,0.337699,0.3
00050_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.86128,3.39223754,0.461387,0.3
00055_00,WebPhoto_v2_prompt_version_3_cfg_scale_5_strength_0.7_steps_50_captioner_none_swindegrad_v0,0.882304,3.08746896,0.300326,0.3
00065_02,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.9_steps_100_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.878658,3.35062718,0.423227,0.3
00067_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_1.0_steps_50_captioner_none_swindegrad_v0,0.878694,3.31774088,0.78346,0.3
00071_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.6_steps_100_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.832378,3.38544426,0.429719,0.3
